2025-09-19 19:03:38,976 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:04:26,994 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:04:26,995 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:04:29,989 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:04:29,989 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:04:30,006 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:04:30,021 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:04:38,996 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:04:38,997 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:05:27,975 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:05:27,986 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:05:30,010 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:05:30,014 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:05:30,044 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:05:30,061 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:06:28,999 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:06:29,018 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:06:30,053 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:06:30,060 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:06:30,073 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:06:30,073 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:06:30,096 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:06:30,097 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:07:30,039 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:07:30,044 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:07:30,053 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:07:30,062 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:07:30,065 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:07:30,091 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:07:30,098 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:07:30,107 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:08:29,998 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:08:29,999 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:08:30,001 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:08:30,001 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:08:30,025 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
